customer_key,loyalty_tier,signup_date,last_contact_date,preferred_channel,valid_from,valid_to
1,Silver,1993-01-15,1995-06-20,email,1993-01-15,1995-06-30
1,Gold,1993-01-15,1997-11-05,email,1995-07-01,9999-12-31
2,Gold,1992-03-10,1997-08-14,phone,1992-03-10,9999-12-31
3,Bronze,1992-06-01,1994-12-20,web,1992-06-01,1994-12-31
3,Silver,1992-06-01,1996-11-15,web,1995-01-01,1996-12-31
3,Gold,1992-06-01,1998-02-28,web,1997-01-01,9999-12-31
4,Platinum,1992-01-05,1998-05-10,phone,1992-01-05,9999-12-31
5,Bronze,1993-08-20,1996-03-15,email,1993-08-20,1996-03-31
5,Silver,1993-08-20,1998-01-22,email,1996-04-01,9999-12-31
7,Gold,1992-11-03,1997-09-18,in-store,1992-11-03,9999-12-31
8,Silver,1993-05-15,1994-12-10,web,1993-05-15,1994-12-31
8,Gold,1993-05-15,1996-08-20,web,1995-01-01,1996-08-31
8,Platinum,1993-05-15,1998-03-15,web,1996-09-01,9999-12-31
10,Bronze,1994-02-14,1998-06-30,phone,1994-02-14,9999-12-31
12,Silver,1992-07-22,1997-04-11,email,1992-07-22,9999-12-31
14,Gold,1993-09-08,1995-11-30,in-store,1993-09-08,1995-12-31
14,Platinum,1993-09-08,1998-02-14,in-store,1996-01-01,9999-12-31
15,Bronze,1994-04-17,1997-07-25,web,1994-04-17,9999-12-31
17,Silver,1992-12-01,1996-05-20,phone,1992-12-01,1996-05-31
17,Gold,1992-12-01,1998-01-10,phone,1996-06-01,9999-12-31
20,Gold,1993-03-25,1997-12-08,email,1993-03-25,9999-12-31
22,Bronze,1994-01-10,1995-06-15,web,1994-01-10,1995-06-30
22,Silver,1994-01-10,1997-02-20,web,1995-07-01,1997-02-28
22,Gold,1994-01-10,1998-04-10,web,1997-03-01,9999-12-31
25,Platinum,1992-05-30,1998-01-15,phone,1992-05-30,9999-12-31
28,Silver,1993-07-12,1998-03-22,in-store,1993-07-12,9999-12-31
29,Bronze,1994-06-03,1996-09-18,email,1994-06-03,1996-09-30
29,Silver,1994-06-03,1998-05-05,email,1996-10-01,9999-12-31
31,Gold,1992-08-19,1997-11-28,web,1992-08-19,9999-12-31
32,Silver,1993-11-25,1997-06-14,phone,1993-11-25,9999-12-31
34,Bronze,1994-03-08,1996-12-20,email,1994-03-08,1996-12-31
34,Gold,1994-03-08,1998-02-10,email,1997-01-01,9999-12-31
35,Gold,1992-10-14,1997-08-30,in-store,1992-10-14,9999-12-31
37,Silver,1993-04-22,1997-03-17,web,1993-04-22,9999-12-31
40,Platinum,1992-02-28,1998-04-25,phone,1992-02-28,9999-12-31
41,Bronze,1994-07-15,1995-12-20,email,1994-07-15,1995-12-31
41,Silver,1994-07-15,1997-08-10,email,1996-01-01,1997-08-31
41,Gold,1994-07-15,1998-03-05,email,1997-09-01,9999-12-31
43,Gold,1993-02-11,1997-10-22,web,1993-02-11,9999-12-31
44,Silver,1993-06-30,1998-01-18,phone,1993-06-30,9999-12-31
46,Bronze,1994-05-20,1997-04-15,in-store,1994-05-20,9999-12-31
47,Gold,1992-09-05,1997-12-30,email,1992-09-05,9999-12-31
49,Silver,1993-10-18,1996-07-22,web,1993-10-18,1996-07-31
49,Gold,1993-10-18,1998-02-28,web,1996-08-01,9999-12-31
50,Platinum,1992-04-12,1998-05-15,phone,1992-04-12,9999-12-31
